MSA Code,MSA Name,FIPS,COUNTY
17780,"College Station-Bryan, TX Metropolitan Statistical Area",48051,"Burleson County, TX"
17780,"College Station-Bryan, TX Metropolitan Statistical Area",48041,"Brazos County, TX"
17780,"College Station-Bryan, TX Metropolitan Statistical Area",48395,"Robertson County, TX"
17820,"Colorado Springs, CO Metropolitan Statistical Area",8041,"El Paso County, CO"
17820,"Colorado Springs, CO Metropolitan Statistical Area",8119,"Teller County, CO"
17860,"Columbia, MO Metropolitan Statistical Area",29019,"Boone County, MO"
17860,"Columbia, MO Metropolitan Statistical Area",29089,"Howard County, MO"
17900,"Columbia, SC Metropolitan Statistical Area",45079,"Richland County, SC"
17900,"Columbia, SC Metropolitan Statistical Area",45063,"Lexington County, SC"
17900,"Columbia, SC Metropolitan Statistical Area",45055,"Kershaw County, SC"
17900,"Columbia, SC Metropolitan Statistical Area",45039,"Fairfield County, SC"
17900,"Columbia, SC Metropolitan Statistical Area",45017,"Calhoun County, SC"
17900,"Columbia, SC Metropolitan Statistical Area",45081,"Saluda County, SC"
17980,"Columbus, GA-AL Metropolitan Statistical Area",13197,"Marion County, GA"
17980,"Columbus, GA-AL Metropolitan Statistical Area",13145,"Harris County, GA"
17980,"Columbus, GA-AL Metropolitan Statistical Area",13053,"Chattahoochee County, GA"
17980,"Columbus, GA-AL Metropolitan Statistical Area",1113,"Russell County, AL"
17980,"Columbus, GA-AL Metropolitan Statistical Area",13215,"Muscogee County, GA"
18020,"Columbus, IN Metropolitan Statistical Area",18005,"Bartholomew County, IN"
18140,"Columbus, OH Metropolitan Statistical Area",39129,"Pickaway County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39117,"Morrow County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39097,"Madison County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39089,"Licking County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39049,"Franklin County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39045,"Fairfield County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39041,"Delaware County, OH"
18140,"Columbus, OH Metropolitan Statistical Area",39159,"Union County, OH"
18580,"Corpus Christi, TX Metropolitan Statistical Area",48355,"Nueces County, TX"
18580,"Corpus Christi, TX Metropolitan Statistical Area",48007,"Aransas County, TX"
18580,"Corpus Christi, TX Metropolitan Statistical Area",48409,"San Patricio County, TX"
18700,"Corvallis, OR Metropolitan Statistical Area",41003,"Benton County, OR"
19060,"Cumberland, MD-WV Metropolitan Statistical Area",24001,"Allegany County, MD"
19060,"Cumberland, MD-WV Metropolitan Statistical Area",54057,"Mineral County, WV"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48439,"Tarrant County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48397,"Rockwall County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48367,"Parker County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48257,"Kaufman County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48251,"Johnson County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48231,"Hunt County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48139,"Ellis County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48121,"Denton County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48119,"Delta County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48113,"Dallas County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48085,"Collin County, TX"
19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",48497,"Wise County, TX"
19140,"Dalton, GA Metropolitan Statistical Area",13213,"Murray County, GA"
19140,"Dalton, GA Metropolitan Statistical Area",13313,"Whitfield County, GA"
19180,"Danville, IL Metropolitan Statistical Area",17183,"Vermilion County, IL"
19260,"Danville, VA Metropolitan Statistical Area",51590,"Danville city, VA"
19260,"Danville, VA Metropolitan Statistical Area",51143,"Pittsylvania County, VA"
19340,"Davenport-Moline-Rock  Island, IA-IL Metropolitan Statistical Area",17161,"Rock Island County, IL"
19340,"Davenport-Moline-Rock  Island, IA-IL Metropolitan Statistical Area",17131,"Mercer County, IL"
19340,"Davenport-Moline-Rock  Island, IA-IL Metropolitan Statistical Area",17073,"Henry County, IL"
19340,"Davenport-Moline-Rock  Island, IA-IL Metropolitan Statistical Area",19163,"Scott County, IA"
19380,"Dayton, OH Metropolitan Statistical Area",39113,"Montgomery County, OH"
19380,"Dayton, OH Metropolitan Statistical Area",39109,"Miami County, OH"
